run_id,edi_method,policy,control_interval_s,corruption_ratio,data_scale,active_users_avg,arrival_rate_avg,cpu_util_avg,num_edge_servers,start_ts,end_ts,status
DL-EDI_VFCO_T60_CR0.05_DS5_U20_A5_CPU0.35_20260315_205058,DL-EDI,VFCO,60.0,0.05,5,20,5,0.35,4,2026-03-15 20:50:58,2026-03-15 20:53:29,completed
DL-EDI_VFCO_T600_CR0.05_DS8_U20_A5_CPU0.35_,DL-EDI,VFCO,600.0,0.05,8,20,5,0.35,4,2026-03-16 16:07:26,,started
DL-EDI_VFCO_T60_CR0.05_DS8_U20_A5_CPU0.35_,DL-EDI,VFCO,60.0,0.05,8,20,5,0.35,4,2026-03-16 17:29:24,2026-03-16 18:59:01,completed
DL-EDI_VFCO_T60_CR0.05_DS8_U20_A5_CPU0.35_,DL-EDI,VFCO,60.0,0.05,8,20,5,0.35,4,2026-03-16 17:49:59,2026-03-16 18:59:01,completed
DL-EDI_VFCO_T120_CR0.05_DS8_U20_A5_CPU0.35_,DL-EDI,VFCO,120.0,0.05,8,20,5,0.35,4,2026-03-16 17:52:08,,started
DL-EDI_VFCO_T60_CR0.05_DS8_U20_A5_CPU0.35_,DL-EDI,VFCO,60.0,0.05,8,20,5,0.35,4,2026-03-16 17:56:39,2026-03-16 18:59:01,completed
DL-EDI_VFCO_T60_CR0.05_DS8_U20_A5_CPU0.35_,DL-EDI,VFCO,60.0,0.05,8,20,5,0.35,4,2026-03-16 18:40:36,2026-03-16 18:59:01,completed
DL-EDI_VFCO_T60_CR0.05_DS8_U20_A5_CPU0.35_,DL-EDI,VFCO,60.0,0.05,8,20,5,0.35,4,2026-03-16 18:53:34,2026-03-16 18:59:01,completed
DL-EDI_VFCO_T300_CR5_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,8,30,5,0.35,4,2026-03-17 16:05:59,2026-03-18 17:22:52,completed
DL-EDI_VFCO_T300_CR5_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,8,30,5,0.35,4,2026-03-17 16:25:18,2026-03-18 17:22:52,completed
DL-EDI_VFCO_T300_CR5_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,8,30,5,0.35,4,2026-03-17 16:25:44,2026-03-18 17:22:52,completed
DL-EDI_VFCO_T300_CR5_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,8,30,5,0.35,4,2026-03-17 16:25:57,2026-03-18 17:22:52,completed
DL-EDI_VFCO_T300_CR5_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,8,30,5,0.35,4,2026-03-17 16:26:37,2026-03-18 17:22:52,completed
DL-EDI_VFCO_T300_CR5_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,8,30,5,0.35,4,2026-03-17 16:27:13,2026-03-18 17:22:52,completed
DL-EDI_VFCO_T300_CR5_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,8,30,5,0.35,4,2026-03-17 16:27:28,2026-03-18 17:22:52,completed
DL-EDI_VFCO_T300_CR5_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,8,30,5,0.35,4,2026-03-17 16:29:10,2026-03-18 17:22:52,completed
DL-EDI_VFCO_T300_CR5_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,8,30,5,0.35,4,2026-03-17 16:30:10,2026-03-18 17:22:52,completed
DL-EDI_VFCO_T300_CR5_DS2_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,2,30,5,0.35,4,2026-03-17 17:05:37,2026-03-18 06:27:11,completed
DL-EDI_VFCO_T300_CR5_DS2_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,2,30,5,0.35,4,2026-03-17 17:05:53,2026-03-18 06:27:11,completed
DL-EDI_VFCO_T300_CR5_DS4_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,4,30,5,0.35,4,2026-03-17 17:31:49,2026-03-17 17:56:33,completed
DL-EDI_VFCO_T300_CR5_DS32_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,32,30,5,0.35,4,2026-03-17 17:57:50,2026-03-18 16:49:02,completed
DL-EDI_VFCO_T300_CR5_DS32_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,32,30,5,0.35,4,2026-03-17 18:54:34,2026-03-18 16:49:02,completed
DL-EDI_VFCO_T300_CR5_DS32_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,32,30,5,0.35,4,2026-03-17 18:55:09,2026-03-18 16:49:02,completed
DL-EDI_VFCO_T300_CR5_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,8,30,5,0.35,4,2026-03-18 01:02:28,2026-03-18 17:22:52,completed
DL-EDI_VFCO_T300_CR5_DS16_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,16,30,5,0.35,4,2026-03-18 01:05:12,,started
DL-EDI_VFCO_T300_CR5_DS16_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,16,30,5,0.35,4,2026-03-18 01:25:17,,started
DL-EDI_VFCO_T300_CR5_DS16_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,16,30,5,0.35,4,2026-03-18 01:25:47,,started
DL-EDI_VFCO_T300_CR5_DS16_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,16,30,5,0.35,4,2026-03-18 01:28:58,,started
DL-EDI_VFCO_T300_CR5_DS32_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,32,30,5,0.35,4,2026-03-18 01:29:19,2026-03-18 16:49:02,completed
DL-EDI_VFCO_T300_CR5_DS32_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,32,30,5,0.35,7,2026-03-18 01:32:46,2026-03-18 16:49:02,completed
DL-EDI_VFCO_T300_CR5_DS32_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,32,30,5,0.35,4,2026-03-18 01:33:28,2026-03-18 16:49:02,completed
DL-EDI_VFCO_T300_CR5_DS32_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,32,30,5,0.35,4,2026-03-18 01:36:42,2026-03-18 16:49:02,completed
DL-EDI_VFCO_T300_CR5_DS32_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,32,30,5,0.35,4,2026-03-18 01:42:29,2026-03-18 16:49:02,completed
DL-EDI_VFCO_T300_CR5_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,8,30,5,0.35,4,2026-03-18 01:43:43,2026-03-18 17:22:52,completed
DL-EDI_VFCO_T300_CR5_DS16_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,16,30,5,0.35,4,2026-03-18 01:47:13,,started
DL-EDI_VFCO_T300_CR5_DS16_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,16,30,5,0.35,4,2026-03-18 01:53:53,,started
DL-EDI_VFCO_T300_CR5_DS16_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,16,30,5,0.35,4,2026-03-18 01:57:49,,started
DL-EDI_VFCO_T300_CR5_DS16_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,16,30,5,0.35,4,2026-03-18 01:59:51,,started
DL-EDI_VFCO_T300_CR5_DS2_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,2,30,5,0.35,4,2026-03-18 06:00:27,2026-03-18 06:27:11,completed
DL-EDI_VFCO_T300_CR0.05_DS16_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,16,30,5,0.35,4,2026-03-18 14:47:38,2026-03-24 19:47:02,completed
DL-EDI_VFCO_T300_CR0.05_DS16_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,16,30,5,0.35,4,2026-03-18 15:43:52,2026-03-24 19:47:02,completed
DL-EDI_VFCO_T300_CR0.05_DS16_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,16,30,5,0.35,4,2026-03-18 15:45:19,2026-03-24 19:47:02,completed
DL-EDI_VFCO_T300_CR5_DS32_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,32,30,5,0.35,4,2026-03-18 16:15:19,2026-03-18 16:49:02,completed
DL-EDI_VFCO_T300_CR5_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,8,30,5,0.35,4,2026-03-18 16:59:21,2026-03-18 17:22:52,completed
DL-EDI_VFCO_T300_CR5_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,5,8,30,5,0.35,4,2026-03-18 17:36:14,,started
DL-EDI_VFCO_T300_CR0.05_DS2_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,2,30,5,0.35,4,2026-03-18 17:38:10,2026-03-24 20:43:13,completed
DL-EDI_VFCO_T300_CR0.05_DS4_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,4,30,5,0.35,4,2026-03-18 18:21:36,2026-03-24 16:33:30,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,5,0.35,4,2026-03-18 19:06:04,2026-04-01 22:42:51,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,5,0.35,4,2026-03-18 19:06:20,2026-04-01 22:42:51,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,5,0.35,4,2026-03-18 23:00:52,2026-04-01 22:42:51,completed
DL-EDI_VFCO_T300_CR0.05_DS16_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,16,30,5,0.35,4,2026-03-18 23:25:40,2026-03-24 19:47:02,completed
DL-EDI_VFCO_T300_CR0.05_DS32_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,32,30,5,0.35,4,2026-03-19 00:11:23,2026-03-24 17:56:23,completed
DL-EDI_VFCO_T300_CR0.05_DS32_U30_A1_CPU0.35_,DL-EDI,VFCO,300.0,0.05,32,30,1,0.35,4,2026-03-19 00:52:23,,started
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A1_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,1,0.35,4,2026-03-19 00:52:50,2026-03-25 20:54:19,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A2_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,2,0.35,4,2026-03-19 01:23:32,2026-03-25 22:52:11,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A2_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,2,0.35,4,2026-03-19 01:37:42,2026-03-25 22:52:11,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A3_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,3,0.35,4,2026-03-19 01:38:17,2026-03-26 01:16:35,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A7_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,7,0.35,4,2026-03-19 06:01:02,2026-03-26 03:15:26,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A9_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,9,0.35,4,2026-03-19 06:28:18,2026-03-26 12:39:49,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U10_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,10,5,0.35,4,2026-03-19 07:15:18,2026-03-25 15:16:40,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U20_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,20,5,0.35,4,2026-03-19 14:32:37,2026-03-25 16:41:41,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U40_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,40,5,0.35,4,2026-03-19 15:26:13,2026-03-25 18:00:54,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U50_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,50,5,0.35,4,2026-03-19 15:57:18,2026-03-25 19:31:58,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A5_CPU0.25_,DL-EDI,VFCO,300.0,0.05,8,30,5,0.25,4,2026-03-19 16:40:08,2026-03-26 14:25:34,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A5_CPU0.3_,DL-EDI,VFCO,300.0,0.05,8,30,5,0.3,4,2026-03-19 17:10:22,2026-03-26 15:52:39,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A5_CPU0.4_,DL-EDI,VFCO,300.0,0.05,8,30,5,0.4,4,2026-03-19 17:38:09,2026-03-26 17:32:25,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A5_CPU0.45_,DL-EDI,VFCO,300.0,0.05,8,30,5,0.45,4,2026-03-19 18:18:20,2026-03-26 18:44:47,completed
DL-EDI_VFCO_T180_CR0.05_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,180.0,0.05,8,30,5,0.35,4,2026-03-19 18:59:49,2026-03-25 00:08:18,completed
DL-EDI_VFCO_T180_CR0.05_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,180.0,0.05,8,30,5,0.35,4,2026-03-19 19:04:14,2026-03-25 00:08:18,completed
DL-EDI_VFCO_T240_CR0.05_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,240.0,0.05,8,30,5,0.35,4,2026-03-19 22:23:59,2026-03-25 08:01:10,completed
DL-EDI_VFCO_T240_CR0.05_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,240.0,0.05,8,30,5,0.35,4,2026-03-19 22:24:39,2026-03-25 08:01:10,completed
DL-EDI_VFCO_T360_CR0.05_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,360.0,0.05,8,30,5,0.35,4,2026-03-19 23:03:45,2026-03-25 13:24:13,completed
DL-EDI_VFCO_T420_CR0.05_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,420.0,0.05,8,30,5,0.35,4,2026-03-19 23:34:22,2026-03-25 10:49:55,completed
DL-EDI_VFCO_T300_CR0.02_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.02,8,30,5,0.35,4,2026-03-20 00:35:23,2026-03-24 21:52:53,completed
DL-EDI_VFCO_T300_CR0.03_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.03,8,30,5,0.35,4,2026-03-20 04:52:09,2026-03-24 23:16:44,completed
DL-EDI_VFCO_T300_CR0.04_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.04,8,30,5,0.35,4,2026-03-20 05:31:43,2026-03-25 01:15:29,completed
DL-EDI_VFCO_T300_CR0.07_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.07,8,30,5,0.35,4,2026-03-20 06:13:25,2026-03-25 09:08:39,completed
DL-EDI_VFCO_T300_CR0.08_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.08,8,30,5,0.35,4,2026-03-20 18:26:04,2026-03-20 20:10:59,completed
DL-EDI_VFCO_T300_CR0.08_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.08,8,30,5,0.35,4,2026-03-20 19:28:49,2026-03-20 20:10:59,completed
DL-EDI_VFCO_T300_CR0.08_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.08,8,30,5,0.35,4,2026-03-20 19:29:29,2026-03-20 20:10:59,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,5,0.35,4,2026-03-20 20:16:32,2026-04-01 22:42:51,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,5,0.35,4,2026-03-20 21:00:28,2026-04-01 22:42:51,completed
DL-EDI_VFCO_T300_CR0.05_DS2_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,2,30,5,0.35,4,2026-03-20 22:19:10,2026-03-24 20:43:13,completed
DL-EDI_VFCO_T300_CR0.05_DS4_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,4,30,5,0.35,4,2026-03-20 23:06:27,2026-03-24 16:33:30,completed
DL-EDI_VFCO_T300_CR0.05_DS16_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,16,30,5,0.35,4,2026-03-20 23:45:27,2026-03-24 19:47:02,completed
DL-EDI_VFCO_T300_CR0.05_DS32_U30_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,32,30,5,0.35,4,2026-03-21 00:35:34,2026-03-24 17:56:23,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U10_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,10,5,0.35,4,2026-03-21 01:08:50,2026-03-25 15:16:40,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U10_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,10,5,0.35,4,2026-03-21 17:57:54,2026-03-25 15:16:40,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U20_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,20,5,0.35,4,2026-03-21 18:30:07,2026-03-25 16:41:41,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U40_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,40,5,0.35,4,2026-03-21 19:09:39,2026-03-25 18:00:54,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U50_A5_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,50,5,0.35,4,2026-03-21 19:43:33,2026-03-25 19:31:58,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A1_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,1,0.35,4,2026-03-21 20:31:24,2026-03-25 20:54:19,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A3_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,3,0.35,4,2026-03-21 21:14:07,2026-03-26 01:16:35,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A7_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,7,0.35,4,2026-03-21 21:48:30,2026-03-26 03:15:26,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A9_CPU0.35_,DL-EDI,VFCO,300.0,0.05,8,30,9,0.35,4,2026-03-21 22:14:22,2026-03-26 12:39:49,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A5_CPU0.25_,DL-EDI,VFCO,300.0,0.05,8,30,5,0.25,4,2026-03-21 22:52:54,2026-03-26 14:25:34,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A5_CPU0.3_,DL-EDI,VFCO,300.0,0.05,8,30,5,0.3,4,2026-03-21 23:25:03,2026-03-26 15:52:39,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A5_CPU0.4_,DL-EDI,VFCO,300.0,0.05,8,30,5,0.4,4,2026-03-22 00:03:02,2026-03-26 17:32:25,completed
DL-EDI_VFCO_T300_CR0.05_DS8_U30_A5_CPU0.45_,DL-EDI,VFCO,300.0,0.05,8,30,5,0.45,4,2026-03-22 01:07:20,2026-03-26 18:44:47,completed
DL-EDI_VFCO_T300_CR0.02_DS8_U30_A5_CPU0.45_,DL-EDI,VFCO,300.0,0.02,8,30,5,0.45,4,2026-03-22 07:42:00,2026-03-22 08:05:05,completed
DL-EDI_VFCO_T300_CR0.03_DS8_U30_A5_CPU0.45_,DL-EDI,VFCO,300.0,0.03,8,30,5,0.45,4,2026-03-22 08:07:58,2026-03-22 08:30:36,completed
DL-EDI_VFCO_T300_CR0.04_DS8_U30_A5_CPU0.45_,DL-EDI,VFCO,300.0,0.04,8,30,5,0.45,4,2026-03-22 20:24:25,2026-03-22 20:58:58,completed
DL-EDI_VFCO_T300_CR0.07_DS8_U30_A5_CPU0.45_,DL-EDI,VFCO,300.0,0.07,8,30,5,0.45,4,2026-03-22 21:00:25,2026-03-22 21:23:40,completed
DL-EDI_VFCO_T180_CR0.05_DS8_U30_A5_CPU0.45_,DL-EDI,VFCO,180.0,0.05,8,30,5,0.45,4,2026-03-22 21:43:02,2026-03-22 22:04:12,completed
DL-EDI_VFCO_T240_CR0.05_DS8_U30_A5_CPU0.45_,DL-EDI,VFCO,240.0,0.05,8,30,5,0.45,4,2026-03-22 22:06:04,2026-03-22 22:34:56,completed
DL-EDI_VFCO_T360_CR0.05_DS8_U30_A5_CPU0.45_,DL-EDI,VFCO,360.0,0.05,8,30,5,0.45,4,2026-03-22 22:35:52,2026-03-22 23:14:30,completed
DL-EDI_VFCO_T420_CR0.05_DS8_U30_A5_CPU0.45_,DL-EDI,VFCO,420.0,0.05,8,30,5,0.45,4,2026-03-22 23:47:31,2026-03-23 00:49:13,completed
DL-EDI_VFCO_T180_CR0.05_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,180.0,0.05,8,30,5,0.35,4,2026-03-23 10:58:28,2026-03-25 00:08:18,completed
DL-EDI_VFCO_T240_CR0.05_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,240.0,0.05,8,30,5,0.35,4,2026-03-23 11:24:39,2026-03-25 08:01:10,completed
DL-EDI_VFCO_T240_CR0.05_DS8_U30_A5_CPU0.35_,DL-EDI,VFCO,240.0,0.05,8,30,5,0.35,4,2026-03-23 14:47:29,2026-03-25 08:01:10,completed
